id,type,area,title,arc_ref,code_module,verify_method,status,release_gated
FR-MODEL-001,FR,MODEL,Project 3D camera-frame points to pixels for every supported camera model,ARC-MODELS,ds_msp/models,tests/contract/test_camera_model_contract.py::test_project_shapes_and_dtypes,implemented,no
FR-MODEL-002,FR,MODEL,Unproject pixels to unit bearing rays for every supported model,ARC-MODELS,ds_msp/models,tests/contract/test_camera_model_contract.py::test_unproject_shapes_and_unit_norm,implemented,no
FR-MODEL-003,FR,MODEL,Provide analytic point and parameter projection Jacobians,ARC-MODELS,ds_msp/models,tests/contract/test_gradcheck.py,implemented,no
FR-MODEL-004,FR,MODEL,Expose all models behind one interchangeable CameraModel contract,ARC-CORE,ds_msp/core/contracts.py,tests/contract/test_camera_model_contract.py::test_satisfies_protocol,implemented,no
FR-MODEL-005,FR,MODEL,Serialize and deserialize model parameters round-trip,ARC-MODELS,ds_msp/models,tests/contract/test_camera_model_contract.py,implemented,no
FR-CALIB-001,FR,CALIB,Calibrate intrinsics and per-view extrinsics for any model via bundle adjustment,ARC-CALIB,ds_msp/calib/bundle.py,tests/calib/test_generic_calibrate.py,implemented,yes
FR-CALIB-002,FR,CALIB,Robust pose resection / PnP seeding on the normalized plane,ARC-GEOMETRY,ds_msp/geometry/resection.py,tests/calib/test_robust_init.py,implemented,no
FR-CALIB-003,FR,CALIB,Estimate stereo relative pose between two cameras,ARC-CALIB,ds_msp/calib/stereo.py,tests/calib/test_stereo.py,implemented,no
FR-CALIB-004,FR,CALIB,Detect calibration boards (ChArUco / AprilGrid),ARC-DETECT,ds_msp/detect,tests/calib/test_charuco.py,implemented,no
FR-RIG-001,FR,RIG,Calibrate a multi-camera rig (intrinsics + extrinsics + object poses),ARC-RIG,ds_msp/rig,tests/rig/test_rig_end2end.py,implemented,yes
FR-MVG-001,FR,MVG,Recover two-view relative pose and triangulate on bearing vectors,ARC-MVG,ds_msp/mvg/two_view.py,tests/mvg/test_two_view.py,implemented,no
FR-MVG-002,FR,MVG,Robust two-view pose via RANSAC on Sampson residual,ARC-MVG,ds_msp/mvg/ransac.py,tests/mvg/test_ransac.py,implemented,no
FR-MVG-003,FR,MVG,Refine two-view pose with angular bundle adjustment,ARC-MVG,ds_msp/mvg/bundle.py,tests/mvg/test_bundle.py,implemented,no
FR-STEREO-001,FR,STEREO,Compute fisheye stereo depth via sphere sweep,ARC-STEREO,ds_msp/stereo/sphere_sweep.py,tests/stereo/test_sphere_sweep.py,implemented,no
FR-STEREO-002,FR,STEREO,Spherical epipolar rectification of a stereo pair,ARC-STEREO,ds_msp/stereo/rectify.py,tests/stereo/test_rectify.py,implemented,no
FR-OPS-001,FR,OPS,Undistort fisheye images and keypoints to a pinhole frame,ARC-OPS,ds_msp/ops/undistort.py,tests/ops/test_ops_polymorphic.py,implemented,no
FR-OPS-002,FR,OPS,Reproject images across charts (sphere/cylinder/pinhole/cubemap/tangent),ARC-OPS,ds_msp/ops/reproject.py,tests/ops/test_reproject.py,implemented,no
FR-OPS-003,FR,OPS,Solve PnP on bearing rays for any model,ARC-OPS,ds_msp/ops/pose.py,tests/ops/test_ops_polymorphic.py,implemented,no
