id,layer,package,responsibility,depends_on
ARC-CORE,core,ds_msp/core,Dependency-free foundation: CameraModel contract, Lie groups, LM/Schur optimizer, robust kernels, pinhole helper,(none)
ARC-DATA,data,ds_msp/data,Neutral observation/correspondence containers and CalibDataset,ARC-CORE
ARC-GEOMETRY,geometry,ds_msp/geometry,Shared geometry primitives: one resection/PnP, pose averaging, covisibility graph, single-camera BA driver,ARC-CORE;ARC-DATA
ARC-MODELS,models,ds_msp/models,Eight camera models + pure-NumPy math + registry implementing the CameraModel contract,ARC-CORE
ARC-DETECT,detect,ds_msp/detect,OpenCV detection adapters (ChArUco / AprilGrid) producing data records,ARC-CORE;ARC-DATA
ARC-IO,io,ds_msp/io,Interop read/write (Kalibr / COLMAP / nerfstudio / MC-Calib),ARC-CORE;ARC-DATA;ARC-MODELS
ARC-OPS,ops,ds_msp/ops,Model-agnostic services: undistort, multi-chart reproject, PnP,ARC-CORE;ARC-MODELS
ARC-ADAPT,adapt,ds_msp/adapt,Model conversion and automatic model selection,ARC-CORE;ARC-MODELS
ARC-CALIB,calib,ds_msp/calib,Single-camera intrinsic + stereo extrinsic calibration,ARC-CORE;ARC-DATA;ARC-GEOMETRY;ARC-DETECT
ARC-MVG,mvg,ds_msp/mvg,Two-view geometry on bearing vectors,ARC-CORE
ARC-STEREO,stereo,ds_msp/stereo,Wide-FOV stereo depth and rectification,ARC-CORE;ARC-MODELS
ARC-RIG,rig,ds_msp/rig,Multi-camera rig calibration pipeline (composes calib + geometry),ARC-CORE;ARC-DATA;ARC-GEOMETRY;ARC-DETECT;ARC-CALIB
ARC-VO,vo,ds_msp/vo,Monocular visual odometry pipeline (composes mvg),ARC-CORE;ARC-MVG
ARC-INTEROP,interop,ds_msp/cv.py;ds_msp/ldc.py,OpenCV-compatible API and TI Jacinto LDC export,ARC-CORE;ARC-MODELS
